Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id,
RainbowRadialGradient,,虹色円形グラデーション,Rainbow radial gradient,彩虹径向渐变,彩虹徑向漸變,무지개 방사형 그라데이션,Gradiente radial arcoíris,تدرج قطري قوس قزح,Gradasi radial pelangi,
CenterX,,中心X,Center X,中心X,中心X,중심 X,Centro X,مركز X,Pusat X,
CenterY,,中心Y,Center Y,中心Y,中心Y,중심 Y,Centro Y,مركز Y,Tengah Y,
OriginX,,原点X,Origin X,原点X,原點X,원점 X,Origen X,أصل X,Titik Asal X,
OriginY,,原点Y,Origin Y,原点Y,原點Y,원점 Y,Origen Y,أصل Y,Asal Y,
RadiusX,,半径X,Radius X,半径X,半徑X,반지름 X,Radio X,نصف القطر X,RadiusX,
RadiusY,,半径Y,Radius Y,半径Y,半徑Y,반지름 Y,Radio Y,نصف القطر Y,Radius Y,
Zoom,,拡大率,Zoom,缩放,縮放,확대,Zoom,تكبير,Zoom,
Saturation,,彩度,Saturation,饱和度,飽和度,채도,Saturación,التشبع,Saturasi,
Brightness,,明度,Brightness,亮度,亮度,밝기,Brillo,السطوع,Kecerahan,
Extend,,繰り返し,Extend,重复,重複,반복,Repetir,تكرار,Perpanjang,
ColorSpace,,色空間,Color space,色彩空间,色彩空間,색 공간,Espacio de color,فضاء الألوان,Ruang warna,
Offset,,位置,Offset,偏移,偏移,오프셋,Desplazamiento,الإزاحة,Offset,
