Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id
ParticleOutput,,パーティクル出力,Particle output,粒子输出,粒子輸出,파티클 출력,Salida de partículas,إخراج الجسيمات,Keluaran partikel
TagParticle,,パーティクル,particle,粒子,粒子,파티클,partícula,جسيمات,partikel
TagSparkle,,キラキラ,sparkle,闪耀,閃耀,반짝임,destello,بريق,kilau
TagSnow,,雪,snow,雪,雪,눈,nieve,ثلج,salju
TagEmitter,,放出,emitter,发射,發射,방출,emisor,انبعاث,pemancar
EmitGroup,,発生,Emission,发射,發射,발생,Emisión,انبعاث,Emisi
ScatterGroup,,飛散,Scatter,飞散,飛散,비산,Dispersión,تناثر,Hamburan
AppearanceGroup,,見た目,Appearance,外观,外觀,모양,Apariencia,المظهر,Tampilan
SecUnit,,秒,s,秒,秒,초,s,ث,dtk
PerSecUnit,,個/秒,/s,个/秒,個/秒,개/초,/s,/ث,/dtk
Rate,,発生頻度,Emission rate,发射频率,發射頻率,발생 빈도,Frecuencia de emisión,معدل الانبعاث,Frekuensi emisi
RateDesc,,1秒あたりに発生する粒子の数,Number of particles emitted per second.,每秒发射的粒子数量。,每秒發射的粒子數量。,초당 발생하는 파티클 수.,Número de partículas emitidas por segundo.,عدد الجسيمات المنبعثة في الثانية.,Jumlah partikel yang dipancarkan per detik.
Lifetime,,寿命,Lifetime,寿命,壽命,수명,Vida útil,العمر,Masa hidup
LifetimeDesc,,粒子が消えるまでの時間,Time until a particle disappears.,粒子消失前的时间。,粒子消失前的時間。,입자가 사라질 때까지의 시간.,Tiempo hasta que una partícula desaparece.,الوقت حتى يختفي الجسيم.,Waktu hingga partikel menghilang.
Preroll,,事前再生,Preroll,预先播放,預先播放,사전 재생,Prerreproducción,تشغيل مسبق,Pra-putar
PrerollDesc,,アイテムの開始時点で既に指定時間ぶん放出が進んだ状態にする,Starts with emission already advanced by this amount of time.,使项目开始时发射已进行指定的时间。,使項目開始時發射已進行指定的時間。,아이템 시작 시점에 지정한 시간만큼 방출이 진행된 상태로 만듭니다.,Comienza con la emisión ya avanzada este tiempo.,يبدأ والانبعاث متقدم بهذا المقدار من الوقت.,Mulai dengan emisi yang sudah berjalan selama waktu ini.
Size,,粒子サイズ,Particle size,粒子大小,粒子大小,입자 크기,Tamaño de partícula,حجم الجسيمات,Ukuran partikel
SizeDesc,,粒子1個の大きさ（元の画像に対する割合）,Size of each particle relative to the original image.,单个粒子的大小（相对于原图像的比例）。,單個粒子的大小（相對於原圖像的比例）。,입자 하나의 크기(원본 이미지 대비 비율).,Tamaño de cada partícula en relación con la imagen original.,حجم كل جسيم بالنسبة إلى الصورة الأصلية.,Ukuran setiap partikel relatif terhadap gambar asli.
EmitRange,,発生範囲,Emission range,发射范围,發射範圍,발생 범위,Rango de emisión,نطاق الانبعاث,Rentang emisi
EmitRangeDesc,,粒子が発生する範囲（中心からの最大距離。0で中心の1点から発生）,Area where particles are emitted as the maximum distance from the center. At 0 they emit from the center point.,粒子发射的范围（距中心的最大距离。为0时从中心一点发射）。,粒子發射的範圍（距中心的最大距離。為0時從中心一點發射）。,입자가 발생하는 범위(중심에서의 최대 거리. 0이면 중심 한 점에서 발생).,Área donde se emiten las partículas como distancia máxima desde el centro. Al 0 se emiten desde el punto central.,نطاق انبعاث الجسيمات كأقصى مسافة من المركز. عند 0 تنبعث من نقطة المركز.,Area tempat partikel dipancarkan sebagai jarak maksimum dari pusat. Pada 0 dipancarkan dari titik pusat.
Randomness,,ばらつき,Randomness,随机性,隨機性,불규칙성,Aleatoriedad,عشوائية,Keacakan
RandomnessDesc,,初速・サイズのランダムさ,Randomness of the initial speed and size.,初速与大小的随机程度。,初速與大小的隨機程度。,초기 속도와 크기의 무작위성.,Aleatoriedad de la velocidad inicial y el tamaño.,عشوائية السرعة الابتدائية والحجم.,Keacakan kecepatan awal dan ukuran.
EmitAngle,,射出方向,Emit direction,射出方向,射出方向,사출 방향,Dirección de emisión,اتجاه الإطلاق,Arah pancaran
EmitAngleDesc,,粒子を射出する方向,Direction in which particles are emitted.,粒子射出的方向。,粒子射出的方向。,입자를 사출하는 방향.,Dirección en la que se emiten las partículas.,الاتجاه الذي تُطلق فيه الجسيمات.,Arah partikel dipancarkan.
SpreadAngle,,拡散角,Spread angle,扩散角,擴散角,확산각,Ángulo de dispersión,زاوية الانتشار,Sudut sebaran
SpreadAngleDesc,,射出方向を中心とした広がりの角度,Angle of spread around the emit direction.,以射出方向为中心的扩散角度。,以射出方向為中心的擴散角度。,사출 방향을 중심으로 한 퍼짐 각도.,Ángulo de apertura alrededor de la dirección de emisión.,زاوية الانتشار حول اتجاه الإطلاق.,Sudut sebaran di sekitar arah pancaran.
Speed,,初速,Initial speed,初速,初速,초기 속도,Velocidad inicial,السرعة الابتدائية,Kecepatan awal
