Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id,
PluginName,,MIDI 音声読み込みプラグイン,MIDI Audio Source Plugin,MIDI 音频源插件,MIDI 音訊源插件,MIDI 오디오 소스 플러그인,Plugin de fuente de audio MIDI,مكون إضافي لمصدر صوت MIDI,Plugin Sumber Audio MIDI,
SettingsName,,MIDI 設定,MIDI Settings,MIDI 设置,MIDI 設定,MIDI 설정,Configuración MIDI,إعدادات MIDI,Pengaturan MIDI,
AudioSettings,,音声設定,Audio Settings,音频设置,音訊設定,오디오 설정,Configuración de audio,إعدادات الصوت,Pengaturan Audio,
SampleRate,,サンプリングレート,Sample Rate,采样率,取樣率,샘플 레이트,Frecuencia de muestreo,معدل أخذ العينات,Laju Sampel,
MasterVolume,,マスター音量,Master Volume,主音量,主音量,마스터 볼륨,Volumen maestro,مستوى الصوت الرئيسي,Volume Utama,
EnableNormalization,,音量正規化,Normalization,音量归一化,音量正規化,음량 정규화,Normalización,تطبيع الصوت,Normalisasi,
PerformanceSettings,,パフォーマンス設定,Performance Settings,性能设置,效能設定,성능 설정,Configuración de rendimiento,إعدادات الأداء,Pengaturan Performa,
RenderingMode,,レンダリングモード,Rendering Mode,渲染模式,渲染模式,렌더링 모드,Modo de renderizado,وضع التقديم,Mode Rendering,
BufferSize,,バッファサイズ,Buffer Size,缓冲区大小,緩衝區大小,버퍼 크기,Tamaño del búfer,حجم المخزن المؤقت,Ukuran Buffer,
MaxPolyphony,,最大和音数,Max Polyphony,最大复音数,最大複音數,최대 화음 수,Polifonía máxima,الحد الأقصى للتعدد الصوتي,Polifoni Maksimal,
EnableGpuAcceleration,,GPU高速化,GPU Acceleration,GPU 加速,GPU 加速,GPU 가속,Aceleración GPU,تسريع GPU,Akselerasi GPU,
SoundFontSettings,,サウンドフォント設定,SoundFont Settings,音色库设置,音色庫設定,사운드폰트 설정,Configuración de SoundFont,إعدادات SoundFont,Pengaturan SoundFont,
EnableSoundFont,,サウンドフォントを使用,Use SoundFont,使用音色库,使用音色庫,사운드폰트 사용,Usar SoundFont,استخدام SoundFont,Gunakan SoundFont,
FallbackToSynthesis,,シンセシスにフォールバック,Fallback to Synthesis,回退到合成,退回到合成,합성으로 폴백,Recurrir a síntesis,الرجوع إلى التوليف,Fallback ke Sintesis,
AutoDownload,,自動ダウンロード,Auto Download,自动下载,自動下載,자동 다운로드,Descarga automática,التنزيل التلقائي,Unduh Otomatis,
SoundFontLayers,,サウンドフォントレイヤー,SoundFont Layers,音色库层,音色庫層,사운드폰트 레이어,Capas de SoundFont,طبقات SoundFont,Layer SoundFont,
LayerFileName,,ファイル名,File Name,文件名,檔案名,파일 이름,Nombre de archivo,اسم الملف,Nama File,
LayerVolume,,音量,Volume,音量,音量,볼륨,Volumen,مستوى الصوت,Volume,
LayerEnabled,,有効,Enabled,启用,啟用,활성화,Habilitado,ممكّن,Diaktifkan,
EffectsSettings,,エフェクト設定,Effects Settings,效果设置,效果設定,이펙트 설정,Configuración de efectos,إعدادات التأثيرات,Pengaturan Efek,
EnableEffects,,エフェクトを有効化,Enable Effects,启用效果,啟用效果,이펙트 활성화,Habilitar efectos,تفعيل التأثيرات,Aktifkan Efek,
EnableReverb,,リバーブ,Reverb,混响,殘響,리버브,Reverberación,صدى الصوت,Reverb,
ReverbDecay,,リバーブ減衰,Reverb Decay,混响衰减,殘響衰減,리버브 감쇠,Decaimiento de reverberación,تلاشي الصدى,Peluruhan Reverb,
EnableCompression,,コンプレッサー,Compression,压缩,壓縮,컴프레서,Compresión,الضغط,Kompresi,
CompressionThreshold,,コンプレッションしきい値,Compression Threshold,压缩阈值,壓縮閾值,컴프레션 임계값,Umbral de compresión,عتبة الضغط,Ambang Kompresi,
CompressionRatio,,コンプレッション比,Compression Ratio,压缩比,壓縮比,컴프레션 비율,Relación de compresión,نسبة الضغط,Rasio Kompresi,
EnableLimiter,,リミッター,Limiter,限幅器,限幅器,리미터,Limitador,محدد,Limiter,
LimiterThreshold,,リミッターしきい値,Limiter Threshold,限幅阈值,限幅閾值,리미터 임계값,Umbral de limitador,عتبة المحدد,Ambang Limiter,
DownloadSoundFont,,サウンドフォントをダウンロード,Download SoundFont,下载音色库,下載音色庫,사운드폰트 다운로드,Descargar SoundFont,تنزيل SoundFont,Unduh SoundFont,
Downloading,,ダウンロード中...,Downloading...,下载中...,下載中...,다운로드 중...,Descargando...,جارٍ التنزيل...,Mengunduh...,
DownloadComplete,,ダウンロード完了,Download Complete,下载完成,下載完成,다운로드 완료,Descarga completa,اكتمل التنزيل,Unduhan Selesai,
DownloadFailed,,ダウンロード失敗,Download Failed,下载失败,下載失敗,다운로드 실패,Descarga fallida,فشل التنزيل,Unduhan Gagal,
AddLayer,,レイヤーを追加,Add Layer,添加层,新增層,레이어 추가,Agregar capa,إضافة طبقة,Tambah Layer,
RemoveLayer,,レイヤーを削除,Remove Layer,删除层,刪除層,레이어 삭제,Eliminar capa,إزالة طبقة,Hapus Layer,
RenderingModeSoundFont,,サウンドフォント,SoundFont,音色库,音色庫,사운드폰트,SoundFont,SoundFont,SoundFont,
RenderingModeSynthesis,,波形シンセシス,Waveform Synthesis,波形合成,波形合成,파형 합성,Síntesis de forma de onda,توليف الموجة,Sintesis Gelombang,
SoundFontDirectory,,サウンドフォントフォルダー,SoundFont Folder,音色库文件夹,音色庫資料夾,사운드폰트 폴더,Carpeta SoundFont,مجلد SoundFont,Folder SoundFont,
OpenSoundFontFolder,,フォルダーを開く,Open Folder,打开文件夹,開啟資料夾,폴더 열기,Abrir carpeta,فتح المجلد,Buka Folder,
FileReadError,,ファイルの読み込みに失敗しました。,Failed to read file.,读取文件失败。,讀取檔案失敗。,파일 읽기에 실패했습니다.,Error al leer el archivo.,فشل في قراءة الملف.,Gagal membaca file.,
